OBJECTID,DAUID,CSDUID,CSDNAME,TOT_PVT_HH_TENURE,OWNER,RENTER,BAND_HOUSING,TOT_OCC_PVT_DWELL_CONDO,CONDO,NOT_CONDO,TOT_OCC_PVT_DWELL_NO_BED,NO_BED,ONE_BED,TWO_BED,THREE_BED,FOUR_PLUS_BED,TOT_OCC_PVT_DWELL_NO_ROOMS,NO_1_4_ROOMS,NO_5_ROOMS,NO_6_ROOMS,NO_7_ROOMS,NO_8_PLUS_ROOMS,AVG_NO_ROOMS,TOT_PVT_HH_NO_PERSON_ROOM,NO_1_LESS_PER_ROOM,NO_1_PLUS_PER_ROOM,TOT_PVT_HH_HOUSING_SUITABILITY,SUITABLE,NOT_SUITABLE,TOT_OCC_PVT_DWELL_CONST_PERIOD,PERIOD_1960_BEFORE,PERIOD_1961_1980,PERIOD_1981_1990,PERIOD_1991_2000,PERIOD_2001_2005,PERIOD_2006_2010,PERIOD_2011_2016,TOT_OCC_PVT_DWELL_CONDITION,MINOR_REPAIR,MAJOR_REPAIR,TOT_PVT_HH_NO_MAINTAINER,NO_1_MAINTAINER,NO_2_MAINTAINER,NO_3_PLUS_MAINTAINER,TOT_PVT_HH_AGE_MAINTAINER,AGE_15_24_YRS,AGE_25_34_YRS,AGE_35_44_YRS,AGE_45_54_YRS,AGE_55_64_YRS,AGE_65_74_YRS,AGE_75_84_YRS,AGE_85_PLUS_YRS,TOT_HH_INC_GREATER_ZERO,SPEND_LESS_30_PERCENT,SPEND_30_PERCENT_OR_MORE,SPEND_30_PER_TO_LESS_100_PER,TOT_OWNER_HH,OWNER_MORTGAGE,OWNER_SPEND_30_OR_MORE,OWN_MED_MONTHLY_SHELTER_COST,OWN_AVG_MONTHLY_SHELTER_COST,MED_DWELL_VALUE,AVG_DWELL_VALUE,TOT_TENANT_HH,TENANT_SUBSIDIZED,TENANT_SPEND_30_OR_MORE,MED_MONTHLY_SHELTER_RENT,AVG_MONTHLY_SHELTER_COST_RENT,Shape__Area,Shape__Length
1,35191319,3519028,Vaughan,315,280,35,0,315,0,315,315,0,0,10,145,160,315,45,35,80,60,90,6.7,315,300,10,315,295,20,315,0,0,0,30,245,30,10,315,305,10,315,105,190,20,315,0,30,55,100,85,35,0,0,310,210,100,85,280,75,28.6,2174,2059,801744,850628,30,0,50,2071,1534,165700.597167969,1881.20406642068
2,35191314,3519028,Vaughan,395,340,55,0,395,75,320,395,0,0,15,205,175,395,45,100,70,55,125,6.6,390,385,10,395,390,10,395,0,10,0,10,130,210,45,395,390,10,395,195,195,10,395,0,35,145,100,80,20,10,0,395,265,130,105,345,78.3,29,2419,2274,850983,909658,55,0,60,2402,2062,635367.91796875,3568.83213665361
3,35191037,3519028,Vaughan,1850,1720,135,0,1850,20,1830,1855,0,20,70,945,815,1850,225,330,470,385,445,6.5,1855,1790,65,1850,1755,100,1855,10,10,0,905,810,85,40,1855,1825,25,1855,730,1030,90,1855,10,115,400,675,470,160,25,0,1850,1305,545,495,1715,75,27.1,1912,1871,719175,752306,135,0,59.3,2145,1960,1405759.25976563,5055.08092144868
4,35190824,3519028,Vaughan,575,570,10,0,575,0,575,575,0,0,0,75,495,575,10,10,25,75,460,9.3,575,575,0,580,545,30,575,0,10,170,210,170,20,0,575,565,10,575,235,315,35,575,0,0,90,185,150,90,55,0,575,500,80,60,570,35.1,13.2,1201,1721,1199206,1221540,0,0,0,0,0,646140.728515625,4272.21423171423
5,35190825,3519028,Vaughan,170,170,10,0,170,0,175,170,0,0,10,10,160,170,0,0,10,25,130,9.2,170,170,0,170,170,0,175,0,10,50,100,10,10,0,175,165,0,170,80,85,0,175,0,0,15,55,50,30,20,0,175,140,30,25,170,38.2,17.6,1411,1969,1280265,1279927,0,0,0,0,0,253793.928710938,2756.34814148423
6,35190237,3519028,Vaughan,70,60,10,0,70,0,70,75,0,10,10,10,55,75,0,10,0,15,45,8.1,70,70,0,75,70,0,70,0,0,30,30,0,0,0,75,70,0,75,25,45,0,70,0,0,10,15,35,10,0,0,,,,,65,33.3,,1299,1997,1003228,1151559,0,0,,0,0,82690.9775390625,1176.55139082904
7,35190238,3519028,Vaughan,110,100,10,0,110,0,110,105,0,0,0,0,105,105,0,0,0,15,85,9.8,105,105,0,110,105,0,110,0,10,90,10,0,0,0,110,110,0,105,40,65,0,110,0,0,15,20,45,10,20,0,110,105,0,0,100,20,0,1264,1393,1295268,1305262,0,0,0,0,0,137492.828369141,1719.78949080222
8,35191309,3519038,Richmond Hill,790,640,150,0,790,665,120,790,0,250,340,185,10,790,525,120,115,30,0,4.1,790,760,25,785,705,85,785,0,10,30,345,335,70,0,790,750,45,790,585,185,15,790,0,80,110,190,180,95,75,45,785,390,400,325,645,73.4,50,1658,1617,349264,445527,145,0,56.7,1474,1271,177139.675048828,2698.18381915566
9,35191237,3519038,Richmond Hill,125,115,10,0,125,0,125,120,0,0,15,95,25,120,25,25,35,20,20,5.8,125,125,0,125,120,0,125,0,0,0,105,10,10,0,125,120,0,120,65,50,10,125,10,25,15,35,30,0,10,0,125,65,55,45,115,78.3,43.5,1744,1695,698065,888534,0,0,0,0,0,44463.6889648438,1015.4186725859
10,35190239,3519028,Vaughan,175,170,10,0,175,0,175,175,0,0,0,10,165,175,0,0,10,15,150,10,175,175,0,175,170,0,175,0,10,150,10,0,0,0,175,175,10,170,80,90,0,175,0,10,10,45,30,50,20,10,175,150,25,20,175,35.3,14.7,1173,1777,1196985,1161776,0,0,0,0,0,213820.997070313,3016.56736379647
