OBJECTID,DAUID,CSDUID,CSDNAME,TOT_COMMUTING_15_YRS_PLUS,COMMUTE_WITHIN_CSD,COMMUTE_OUT_CSD_WITHIN_CD,COMMUTE_OUT_CSD_CD_WITHIN_PROV,COMMUTE_OUT_PROV,TOT_MAIN_MODE_15_YRS_PLUS_,MODE_CAR_TRUCK_DRIVER,MODE_CAR_TRUCK_PASSENGER,MODE_PUBLIC_TRANSIT,MODE_WALKED,MODE_BICYCLE,MODE_OTHER,TOT_COMMUTE_TIME_15_YRS_PLUS,TIME_LESS_15_MIN,TIME_15_29_MIN,TIME_30_44_MIN,TIME_45_59_MIN,TIME_60_MIN_OVER,TOT_TIME_LEAVE_15_YRS_PLUS,LEAVE_5AM_559AM,LEAVE_6AM_659AM,LEAVE_7AM_759AM,LEAVE_8AM_859AM,LEAVE_9AM_1159AM,LEAVE_12PM_459PM,Shape__Area,Shape__Length
1,35191319,3519028,Vaughan,460,130,45,280,0,535,410,15,75,10,0,25,530,80,120,160,90,85,530,20,90,160,145,75,45,165700.597167969,1881.20406642068
2,35191314,3519028,Vaughan,510,100,95,315,0,545,445,35,65,0,0,0,545,50,165,155,85,95,550,20,65,170,185,65,40,635367.91796875,3568.83213665361
3,35191037,3519028,Vaughan,2935,1030,355,1545,0,3305,2435,215,560,55,0,35,3310,380,925,1020,505,480,3305,115,570,855,830,480,460,1405759.25976563,5055.08092144868
4,35190824,3519028,Vaughan,915,350,50,515,0,1110,930,85,85,0,0,20,1105,240,280,345,100,145,1105,45,110,350,320,165,115,646140.728515625,4272.21423171423
5,35190825,3519028,Vaughan,265,135,10,125,0,295,250,10,30,0,0,0,295,80,110,45,10,50,295,15,25,85,85,55,35,253793.928710938,2756.34814148423
6,35190237,3519028,Vaughan,85,50,10,20,0,85,80,10,0,0,0,0,90,15,25,20,10,20,85,0,10,35,15,10,20,82690.9775390625,1176.55139082904
7,35190238,3519028,Vaughan,175,100,10,70,0,200,160,20,20,0,0,0,200,20,100,45,10,25,200,15,15,55,65,45,10,137492.828369141,1719.78949080222
8,35191309,3519038,Richmond Hill,635,120,240,275,0,740,525,20,160,25,0,10,740,65,215,200,75,180,735,10,85,195,200,135,95,177139.675048828,2698.18381915566
9,35191237,3519038,Richmond Hill,165,20,45,105,0,180,135,10,30,0,0,10,180,10,45,45,45,40,175,0,20,60,50,25,20,44463.6889648438,1015.4186725859
10,35190239,3519028,Vaughan,205,115,15,80,0,255,215,15,25,10,0,0,255,50,90,55,15,45,255,0,30,85,60,35,40,213820.997070313,3016.56736379647
11,35190240,3519028,Vaughan,155,55,10,100,0,185,170,0,10,0,0,0,185,30,60,60,15,20,185,10,30,55,60,25,15,212163.250732422,1846.30070081721
12,35190186,3519028,Vaughan,585,225,25,335,0,630,545,25,45,15,0,0,630,125,185,185,60,75,630,25,85,170,150,120,75,653840.360595703,4180.58994671853
13,35191070,3519028,Vaughan,105,50,0,55,0,120,105,10,0,0,0,10,120,25,25,20,25,20,120,10,20,30,25,30,10,108567.844482422,1302.51139605849
14,35190187,3519028,Vaughan,170,70,0,100,0,195,180,0,10,0,0,0,195,30,60,65,15,25,195,10,30,55,55,30,20,123624.251708984,1429.75189243909
15,35191071,3519028,Vaughan,325,205,10,115,0,350,305,30,15,0,0,10,350,70,175,45,20,40,350,20,25,125,80,60,30,272667.506103516,2342.1774755414
16,35191072,3519028,Vaughan,210,110,20,85,0,260,225,20,15,0,0,0,255,50,75,60,35,35,255,15,35,75,60,40,30,168223.34375,2127.42610517005
17,35191073,3519028,Vaughan,105,40,10,60,0,135,110,10,15,0,0,0,130,20,35,35,15,30,135,10,35,30,55,0,10,68845.98046875,1164.87528995141
18,35190856,3519038,Richmond Hill,135,35,45,50,0,150,95,10,40,10,0,0,145,0,45,35,15,40,150,10,10,40,10,45,25,182897.863037109,2416.13495559259
19,35190857,3519038,Richmond Hill,120,45,25,50,0,150,110,10,25,10,0,0,145,20,65,30,20,20,150,10,45,30,35,15,20,168889.228271484,2354.88345283797
20,35190859,3519038,Richmond Hill,255,45,100,115,0,305,220,20,55,10,0,0,305,45,80,95,30,55,300,10,30,90,70,50,50,185958.497070313,2381.45219541785
21,35190860,3519038,Richmond Hill,95,35,35,25,0,110,85,0,0,15,0,0,110,35,35,35,10,0,105,0,10,15,35,30,15,265009.230957031,3141.28355117547
